542,66,7651,-0.8763494,-0.6239452,3.184846
597,254,7704,-0.5812187,-0.2117899,3.907311
544,33,7751,-0.9030911,-0.7428436,3.115914
382.888,156.52,7762,0.2211782,-0.5375364,3.038951
433,106,7889,-0.07404315,-0.8183944,3.508213
405,117,7947,-1.032675,-0.683041,3.571466
451,195,7953,-1.055414,-0.6049216,3.260621
553,143.8,7961,-0.8114817,-0.7047809,3.379304
509.8,169,7967,0.7599031,-1.330527,3.67065
573,82,7972,0.744431,-0.7069444,3.202161
558,66,8003,0.532625,-0.7767048,3.333552
422,143,8046,0.01343093,-0.7318559,3.379302
445,202.6,8053,0.6688818,-0.7993727,3.332216
424.6,226.6,8072,0.305783,-0.8638125,2.991834
603,80,8175,-0.4766996,-0.7692749,3.518613
469,225,8183,0.9526187,-0.726504,3.255187
472,97,8185,-1.063809,-0.5721556,3.893706
570,103,8208,0.4601329,-0.763604,3.319397
479.08,142.12,8228,-0.1056153,-0.7938021,3.295282
584.2,130.6,8258,0.1135688,-0.6476571,3.151749
450,197,8260,0.6434383,-0.7993189,3.336312
212.68,58.6,8265,0.7428978,-1.032134,2.946628
172.072,417.448,8270,1.11345,-0.9862407,3.700302
207.4,328.6,8280,1.024792,-0.8107032,2.939614
201.4,187,8282,1.166974,-0.6322199,3.13864
206.92,327.88,8284,0.8915386,-0.8986212,2.799966
538,444,8285,0.8577651,-0.8797448,2.828242
224.2,104.2,8287,0.2522493,-0.6882305,3.139629
417.4,145,8289,1.157488,-0.6745498,3.118476
213.4,206.2,8290,-0.2655709,-0.7977732,3.51617
241.48,310.6,8296,0.8654497,-0.9539241,2.786599
542.2,175,8297,-0.01163116,-0.7791201,3.361644
520.6,134.2,8299,0.6015867,-0.9128969,3.717378
229.96,276.04,8300,-0.8518652,-0.6305298,3.180727
591.4,289,8301,-0.6124882,-0.5816605,3.091235
258.472,220.456,8305,0.8427454,-0.880397,2.805828
566.92,126.28,8308,-0.4940404,-0.7109342,3.354286
551.08,100.36,8310,-0.01944211,-0.8161355,3.450556
402.76,133.48,8311,0.8412823,-0.8712333,2.805023
221.32,96.04,8313,0.5136591,-0.6692833,3.167541
345.16,188.2,8316,0.8583867,-0.8759245,2.816885
263.8,352.6,8317,0.6921148,-0.8203834,3.409403
219.88,100.36,8318,0.8416083,-0.9957252,3.72052
589.96,339.4,8320,1.139718,-0.998785,3.663446
507,436,8322,0.862032,-0.88191,2.827403
384.616,398.44,8323,1.038714,-0.907283,3.527695
408.808,401.896,8328,1.177694,-0.8308921,3.282096
546.76,98.92001,8329,0.5970531,-0.7437598,3.140775
589,303.4,8332,1.056289,-0.785951,3.314921
381.16,188.2,8336,0.6020532,-0.7574279,3.198043
531.4,63.4,8345,0.9969528,-0.950598,2.801358
525.16,159.4,7540,0.1819067,-0.8120747,3.402935
479,142,7609,0.07382575,-0.7011296,3.25532
563.8,86.2,7709,-0.7484071,-0.6588846,3.322963
