721,557,1399
780,523,1422
972,678,1437
950,633,1453
764.9144,560.8721,1244
918,451,1278
933.4,651.4,1292
764.0849,560.8721,1295
888,468,1302
917.8,451,1305
912.52,486.28,1338
1054,566,1358
907,446,1363
762.4261,580.2811,1395
883,469,1402
957.16,636.04,1403
927.4,455.8,1421
783,525,1425
719.8,555.4,1430
783.4,525.4,1432
784.8209,523.5473,1433
928.36,460.36,1435
966.4684,638.0101,1447
747.4962,589.239,1449
937.0001,677.8,1450
926.6553,461.3393,1470
1118.256,446.4094,1483
914.7114,481.1464,1486
764.7761,560.8721,1490
595.7086,277.2036,1491
782.92,525.16,1513
1118.671,448.8977,1519
971.8,677.8,1520
1192.906,598.197,1521
717.6364,544.4492,1524
1118.953,448.8977,1525
1050.872,563.5596,1526
769.8911,593.2203,1527
921.6785,457.1921,1529
1052.067,562.3651,1530
783.7841,524.584,1533
924.04,456.04,1534
914.7114,481.7436,1539
927.2081,457.192,1541
1051.071,563.3605,1544
919.6049,482.0753,1545
620.8904,269.7386,1546
970.4081,642.0881,1548
926.92,456.04,1549
923.7521,457.192,1550
1119.016,448.552,1552
