728.2,386.92,216
821.8,371.8,265
819.1599,365.2902,91
873,461,96
787.2401,372.5201,107
890.5745,488.2961,109
865.6913,463.4129,110
859.4705,467.5601,112
866.9356,457.8557,115
860.9636,495.4791,121
731.9691,334.2359,122
870.1841,460.648,127
787.3093,371.7598,136
762.4261,341.8999,137
884.8515,493.6875,138
856.9823,466.3159,139
857.3805,470.3968,145
717.6364,524.1445,146
774.9673,352.1518,150
872.2,460.6,156
700.6,511,159
870.76,460.36,164
699.8033,509.0321,169
693.928,514.2161,173
786.8945,370.1009,181
689.4353,540.136,184
708.6784,511.6034,185
864.5468,459.6473,192
724.8027,481.1464,201
889.6291,488.3127,202
821.5486,377.2341,204
700,512,210
819.4,362.2,212
695.8,513.4,213
818.92,362.44,218
715.2401,513.64,220
705.6924,350.3602,233
735.5522,332.4443,238
886.0459,219.5741,245
688.9709,542.0605,247
710.47,545.6436,249
692.5541,516.9782,250
724.8027,391.5668,251
688.7441,541.8641,269
697.7297,508.6174,273
726.5943,386.192,282
719.8481,521.1281,302
892.6481,457.192,306
726.7601,386.6897,307
820.0721,370.1009,313
764.0849,341.0704,314
757.0514,395.15,315
710.1714,545.9422,316
735.5523,456.0641,319
890.8235,457.8557,320
716.2,514.6,326
869.8385,459.2657,332
