1024.84,361,462
826.1201,356.68,607
826.1201,343.72,626
850.6,403,633
1073.8,191.8,752
849.4,405.4,754
839.08,361,765
855.4,400.6,779
751,325,801
1102.6,192.52,803
991.1441,249.832,822
1103.464,184.168,824
851.1761,303.4,888
836.2,292.6,398
977.3201,181,435
836.2,365.8,458
844.6,247,493
843.4,299.08,544
843.4,352.6,611
838,313,631
834,359,686
807.4,355,704
838.6,355,736
838.6,313,740
1099,179.8,748
826.6,356.2,751
851,403,771
843.4,353.8,772
811,359,789
827.5601,362.44,793
846,402,795
917,492,796
1088.2,171.4,797
838.6,295,799
801,351,802
863.5601,257.32,807
980.403,207.033,812
826.6,364.6,816
837.64,294.76,817
992.2,249.4,821
1049.081,177.1731,830
989.361,248.8367,834
833.8,393.4,836
992,250,840
1086.76,160.84,842
983.8,245.8,852
1048.583,177.6708,854
1061.025,186.1311,855
826.6,343,856
856,400,860
826,358,861
984.52,245.8,862
828,360,863
846.28,301.96,864
849.1025,303.7456,866
1088.396,162.7408,867
807,355,868
851.8,303.4,869
826,343,870
748.6,327.4,871
918.5681,491.752,873
975.6255,241.0732,874
917.5313,492.4433,875
920.6833,490.7015,876
984,249,877
1089,159,879
854,398,880
1087.912,165.16,885
918.2946,491.8959,892
